Date,Open,High,Low,Close,Adj Close,Volume
2014-03-06,2.810000,2.835000,2.500000,2.750000,2.750000,34797
2014-03-07,2.835000,2.835000,2.500000,2.750000,2.750000,89183
2014-03-10,2.835000,2.835000,2.500000,2.625000,2.625000,276770
2014-03-11,2.550000,2.550000,2.550000,2.625000,2.625000,19120
2014-03-12,2.500000,2.500000,2.500000,2.750000,2.750000,50000
2014-03-13,2.790000,2.790000,2.500000,2.750000,2.750000,83756
2014-03-14,2.790000,2.790000,2.600000,2.625000,2.625000,109017
2014-03-17,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-03-18,2.600000,2.600000,2.500000,2.625000,2.625000,21410
2014-03-19,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-03-20,2.500000,2.500000,2.500000,2.625000,2.625000,164473
2014-03-21,2.673000,2.673000,2.500000,2.625000,2.625000,201100
2014-03-24,2.670000,2.670000,2.670000,2.625000,2.625000,838
2014-03-25,2.500000,2.500000,2.500000,2.625000,2.625000,1000
2014-03-26,2.658000,2.658000,2.500000,2.625000,2.625000,218500
2014-03-27,2.500000,2.625000,2.500000,2.625000,2.625000,13035
2014-03-28,2.500000,2.500000,2.500000,2.625000,2.625000,84529
2014-03-31,2.500000,2.500000,2.500000,2.625000,2.625000,71055
2014-04-01,2.550000,2.550000,2.340000,2.375000,2.375000,206013
2014-04-02,2.310000,2.490000,2.250000,2.375000,2.375000,72774
2014-04-03,2.480000,2.480000,2.310000,2.375000,2.375000,111921
2014-04-04,2.440000,2.440000,2.270000,2.375000,2.375000,64137
2014-04-07,2.440000,2.440000,2.125000,2.375000,2.375000,176292
2014-04-08,2.420000,2.438000,2.420000,2.375000,2.375000,109636
2014-04-09,2.438000,2.438000,2.250000,2.375000,2.375000,104000
2014-04-10,2.250000,2.480000,2.250000,2.375000,2.375000,149622
2014-04-11,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-04-14,2.480000,2.480000,2.250000,2.375000,2.375000,70517
2014-04-15,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-04-16,2.380000,2.500000,2.380000,2.375000,2.375000,200322
2014-04-17,2.473000,2.473000,2.473000,2.375000,2.375000,9055
2014-04-22,2.473000,2.473000,2.250000,2.375000,2.375000,23111
2014-04-23,2.450000,2.450000,2.250000,2.375000,2.375000,49160
2014-04-24,2.444000,2.468000,2.444000,2.375000,2.375000,151571
2014-04-25,2.250000,2.250000,2.250000,2.375000,2.375000,35000
2014-04-28,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-04-29,2.460000,2.460000,2.250000,2.375000,2.375000,49540
2014-04-30,2.450000,2.695000,2.450000,2.625000,2.625000,313374
2014-05-01,2.613000,2.613000,2.250000,2.375000,2.375000,101695
2014-05-02,2.380000,2.380000,2.380000,2.375000,2.375000,46430
2014-05-06,2.380000,2.490000,2.380000,2.375000,2.375000,143148
2014-05-07,2.480000,2.480000,2.310000,2.375000,2.375000,69372
2014-05-08,2.300000,2.300000,2.250000,2.375000,2.375000,102500
2014-05-09,2.445000,2.445000,2.250000,2.375000,2.375000,69141
2014-05-12,2.250000,2.253000,2.250000,2.375000,2.375000,58134
2014-05-13,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-05-14,2.400000,2.550000,2.400000,2.500000,2.500000,97002
2014-05-15,2.545000,2.545000,2.545000,2.500000,2.500000,15000
2014-05-16,2.270000,2.270000,2.270000,2.500000,2.500000,72000
2014-05-19,2.270000,2.270000,2.270000,2.500000,2.500000,15000
2014-05-20,2.500000,2.500000,2.500000,2.500000,2.500000,0
2014-05-21,2.270000,2.475000,2.270000,2.500000,2.500000,37138
2014-05-22,2.255000,2.255000,2.250000,2.500000,2.500000,4838
2014-05-23,2.250000,2.250000,2.250000,2.250000,2.250000,83687
2014-05-27,2.500000,2.500000,2.300000,2.500000,2.500000,266183
2014-05-28,2.250000,2.400000,2.250000,2.375000,2.375000,127135
2014-05-29,2.250000,2.250000,2.250000,2.375000,2.375000,59569
2014-05-30,2.390000,2.390000,2.390000,2.375000,2.375000,56171
2014-06-02,2.390000,2.445000,2.250000,2.375000,2.375000,378002
2014-06-03,2.250000,2.253000,2.250000,2.375000,2.375000,315000
2014-06-04,2.250000,2.925000,2.250000,2.750000,2.750000,3035573
2014-06-05,2.890000,2.980000,2.325000,2.625000,2.625000,2183788
2014-06-06,2.550000,2.610000,2.315000,2.500000,2.500000,886006
2014-06-09,2.750000,2.750000,2.350000,2.500000,2.500000,769607
2014-06-10,2.350000,2.750000,2.250000,2.625000,2.625000,3444762
2014-06-11,2.560000,2.560000,2.550000,2.625000,2.625000,121000
2014-06-12,2.690000,2.700000,2.500000,2.625000,2.625000,559074
2014-06-13,2.500000,2.700000,2.500000,2.625000,2.625000,404860
2014-06-16,2.640000,2.640000,2.520000,2.625000,2.625000,332121
2014-06-17,2.500000,2.625000,2.500000,2.375000,2.375000,664936
2014-06-18,2.750000,3.095000,2.510000,3.000000,3.000000,894497
2014-06-19,3.000000,3.000000,2.625000,2.750000,2.750000,381093
2014-06-20,2.750000,2.950000,2.750000,2.875000,2.875000,498273
2014-06-23,3.000000,3.000000,2.600000,2.750000,2.750000,98866
2014-06-24,2.600000,2.600000,2.583000,2.750000,2.750000,134562
2014-06-25,2.583000,2.988000,2.583000,2.750000,2.750000,10950
2014-06-26,2.750000,2.750000,2.750000,2.750000,2.750000,0
2014-06-27,2.600000,2.950000,2.600000,2.750000,2.750000,100990
2014-06-30,2.750000,2.750000,2.750000,2.750000,2.750000,0
2014-07-01,2.935000,2.935000,2.625000,2.750000,2.750000,95000
2014-07-02,2.893000,2.900000,2.893000,2.750000,2.750000,63482
2014-07-03,2.750000,2.893000,2.500000,2.750000,2.750000,455950
2014-07-04,2.660000,2.800000,2.500000,2.750000,2.750000,83869
2014-07-07,2.750000,2.840000,2.750000,2.750000,2.750000,17000
2014-07-08,2.840000,2.840000,2.840000,2.750000,2.750000,60132
2014-07-09,2.900000,3.000000,2.900000,2.750000,2.750000,47794
2014-07-10,2.820000,2.820000,2.655000,2.800000,2.800000,142050
2014-07-11,2.875000,2.800000,2.500000,2.750000,2.750000,267654
2014-07-14,2.770000,2.820000,2.550000,2.750000,2.750000,196931
2014-07-15,2.800000,2.800000,2.550000,2.625000,2.625000,404798
2014-07-16,2.500000,2.500000,2.500000,2.625000,2.625000,34607
2014-07-17,2.500000,2.500000,2.500000,2.625000,2.625000,31335
2014-07-18,2.650000,2.650000,2.500000,2.625000,2.625000,125314
